OBJECTID,Request_ID,Create_Date,Department,Request_Type,Address,District,Status,Close_Date,Origin,Latitude,Longitude,Year,GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
1,317646,1609459560000,Street Maintenance,Drains,WARES FERRY RD,1.0,Closed,1643834160000.0,Website,32.387676,-86.232888,2021,{3FD41E46-D4C9-4A5D-B1DD-7F054B2A4B2E},,,,,532826.7559288293,686881.8812259063
2,317647,1609467660000,Sanitation Department,General Sanitation Inquiry,700 MARY ANN DR,2.0,Closed,1610051940000.0,Website,32.3952613,-86.2352616,2021,{B03AD99B-CEDF-49B3-A264-CA69A7023CB2},,,,,532104.4066517465,689644.2569347396
3,317648,1609687260000,Code Enforcement,Nuisance,702 WOODROW ST,7.0,Closed,1609857600000.0,Report2Gov Android,32.3571,-86.3187,2021,{CCA24BA4-6351-4181-BF63-D7E1250C53E0},,,,,506286.4491014108,675867.4915093258
4,317649,1609691100000,Sanitation Department,Schedule A Bulk Pick Up***DO NOT USE***,541 BELLEHURST DR,1.0,Closed,1617628620000.0,Website,32.3704445,-86.235976,2021,{0C8C97CB-569C-4B3C-8B59-2B774020EA13},,,,,531849.9110977463,680616.4245967418
5,317650,1609733400000,Building Maintenance,COM Plumbing,25 WASHINGTON AVE,3.0,Closed,1609770300000.0,Call Center,32.376554,-86.308317,2021,{631B9A31-0687-4557-8292-A819F97779C1},,,,,509524.14078874514,682930.730007492
6,317651,1609733580000,Street Maintenance,Sidewalk,6173 SOUTH HAMPTON DR,6.0,Closed,1677766380000.0,Call Center,32.3013892,-86.2266284,2021,{442605EB-63F3-450B-9746-5BC78479F762},,,,,534643.7788695805,655482.7087881565
7,317652,1609733700000,Street Maintenance,COM Barricade Request ,725 AMITY LN,2.0,Closed,1610641560000.0,Call Center,32.3970683,-86.204056,2021,{A2A92AB7-BA2F-4D95-8594-D10FCAF74861},,,,,541738.9054273292,690266.8701908216
8,317653,1609766580000,Code Enforcement,Nuisance,2220 MCCARTER AVE,3.0,Closed,1609873740000.0,Call Center,32.3877408,-86.2755452,2021,{1054EBBB-D742-4823-83DA-74A68E48E370},,,,,519658.74781607836,686957.2705108225
9,317654,1609767960000,FAQ,Ask 3-1-1,,,Closed,1609767960000.0,Call Center,0.0,0.0,2021,{CC51C2DE-34AD-45BE-844F-ACACC6A89386},,,,,NaN,NaN
10,317655,1609768740000,Sanitation Department,Garbage/Debris Dumping ( For debris that have been dumped mainly in downtown Montgomery along the r.o.w),WARES FERRY RD,2.0,Closed,1617628620000.0,Call Center,32.4007846,-86.1899492,2021,{929EEC1E-5FE4-4086-A14D-A29FA215D1E4},,,,,546097.6631139964,691604.0991436541
11,317656,1609769100000,FAQ,Ask 3-1-1,,,Closed,1609769100000.0,Call Center,0.0,0.0,2021,{AF0315FF-B53D-4B6B-AD7A-23B76B49B6AB},,,,,NaN,NaN
12,317657,1609769460000,Sanitation Department,Pick Up Container,4015 CHELSEA DR,3.0,Closed,1610112060000.0,Call Center,32.4164431,-86.275352,2021,{E0061B47-1138-408F-8F17-C50E4E2E7528},,,,,519761.5569936633,697399.3339442387
13,317658,1609769700000,Building Maintenance,COM Carpentry,206 FEDERAL DR,2.0,Closed,1609850520000.0,Call Center,32.383493,-86.2723032,2021,{D2896EAD-9286-426A-804A-000380A88202},,,,,520653.19891116396,685407.741457656
14,317659,1609769760000,Building Maintenance,COM Roofing,329 E Vandiver Blvd,3.0,Closed,1610027220000.0,Call Center,32.417846,-86.2773105,2021,{D940C444-8CF6-41DD-9A44-BAFF908E9131},,,,,519159.28720082715,697912.2354774922
15,317660,1609769820000,Building Maintenance,Fire Plumbing,1300 AIR BASE BLVD,4.0,Closed,1609773060000.0,Call Center,32.3478864,-86.3445181,2021,{4BD6B07B-6A02-49DA-957F-D47433799402},,,,,498297.78069557995,672552.5716299862
16,317661,1609769880000,Building Maintenance,Fire Roofing,3003 EAST SOUTH BLVD,6.0,Closed,1610971680000.0,Call Center,32.3298487,-86.2460163,2021,{C9F7BC99-8440-48CD-AF52-4175F5E9B0E9},,,,,528693.0020572469,665859.0423661545
17,317662,1609769880000,Building Maintenance,Fire Roofing,1300 AIR BASE BLVD,4.0,Closed,1610023980000.0,Call Center,32.3478864,-86.3445181,2021,{A7BB9EF4-ECE8-4EA1-9FAB-2D47756C5AE2},,,,,498297.78069557995,672552.5716299862
18,317663,1609770000000,Building Maintenance,COM Electrical,329 E Vandiver Blvd,3.0,Closed,1609776300000.0,Call Center,32.417846,-86.2773105,2021,{898E5F68-B455-4E34-8935-90C6392F9463},,,,,519159.28720082715,697912.2354774922
